lemma,examples
swell,"['it SWELLS with anguish', 'fingers SWELL during menstruation', 'heart SWELLS with love', 'heart SWELLED with pride']"
swim,"['whoever SWIMS the furthest under water', 'the whole country SWIMMING in crank', 'feelings SWIM to ♪', 'you SWIM in jacobowskys', 'they SWIM like swine', 'it SWIMS of that', 'sharks SWIM in water', 'you SWIM with sharks', 'you SWIM for it', 'you SWIM through it', 'military police SWIM like fish', 'you SWIM the arikimau for me', 'small fish SWIM with it', 'eyes SWIMMING in mucilage', 'it SWIMS in water', 'guys SWIM in circles', 'i SWIM with this', 'you SWIM the sea through it', 'the you SWIM for me', 'he SWIMS like impalpable air']"
swing,"['i SWUNG into action', 'i SWUNG on it', 'she SWUNG an axe at me', 'you SWING at me', 'pennsylvania SWINGS to baker', 'you SWUNG at me', 'he SWUNG at me', 'you SWING like one', 'i SWUNG it at him', 'brainard SWINGS a lot of lead', 'you SWING it to mike', 'big loony SWUNG on me', 'he SWUNG at me', 'flanagan SWINGS into action', 'he SWUNG at me', 'you SWUNG at me', 'he SWUNG at her', 'we SWING from rope', 'i SWING like reggie', 'she SWINGS through the vine']"
take,"['he TOOK the lead in strike', 'the murder TOOK place at nighttime', 'i TOOK you for fantômas', 'i TAKE care of you', 'montezuma TOOK offence at that', 'you TAKE care of yourself', 'you TAKE responsibility for it', 'you TOOK everything from me', 'the devil TAKE this congress of vienna', 'that crazy dog TOOK care of everything', 'girlfriends TAKE care of him', 'i TOOK her with me', 'i TAKE care of him', 'i TOOK her by force', 'people TOOK picture on that train', 'the dream TOOK hold of him', 'femi TAKES care of everybody', 'she TOOK it upon herself', 'she TOOK it upon herself', 'we TAKE care of that']"
teach,"['i TAUGHT it to her', 'i TEACH screenwriting at columbia', 'i TAUGHT poetry at yale', 'he TEACHES a group of idiots', 'they TAUGHT us at camp', 'he TAUGHT skiing at bobby', 'we TAUGHT them about god', 'i TAUGHT the women of tasks', 'an old puppeteer TAUGHT me in salzburg', 'they TEACH the same in school', 'mother TEACHED it to me', 'they TEACH kangaroos to', 'i TEACH swimming in williamsburg', 'garfield TEACHES at southwest', 'zon TEACHES compassion for others', 'i TEACH you to fence', 'you TEACH in palace', 'i TAUGHT in kansas', 'hard discipline TEACHES it to man', 'we TAUGHT you in training']"
tear,"[""lt'll TEAR it to rags"", 'you TORE each other to pieces', 'the pigs TORE the camp to pieces', 'i TORE that thing to shreds', 'he TORE you to pieces', 'solitude TEARS you to pieces', 'they TORE a strip off him', 'this guy TEARS past me', 'i TORE the nametag off it', 'they TORE you to pieces', 'it TORE jethro to pieces', 'we TORE the playhouse down', 'you TORE a couple of ligaments', 'they TEAR me to pieces', 'we TORE into them', 'hayes TORE into us', 'body TORE into pieces', 'they´re TEARING it in the lobby', 'they TORE this place for the stickup money', 'you TORE him to shreds']"
telecast,[]
tell,"['i TOLD you about him', 'i TOLD you about amateurs', 'i TOLD you about her', 'i TOLD you about him', 'nobody TOLD me about this', 'manuela TOLD me about her', 'bruce TOLD me about it', 'you TELL me about joe', 'you TOLD me about this', 'he TOLD me about it', 'i TOLD you about that', 'i TOLD her about you', 'he TELLS that to everyone', ""we'ii TELL a few things of cleanliness"", 'you TELL that fathead for me', 'he TOLD me about that', 'fishl TOLD me about it', 'you TOLD me at breakfast', 'you TELL time like a watch', 'they TOLD me about it']"
throw,"['they THREW an apple at me', 'the police THREW a cordon around it', 'i THREW mud on him', 'i THREW stones at him', 'the judge THREW the book at me', 'i THREW something at him', 'i THREW you at nobody', 'the weatherman THREW the book at us', 'they THREW stones at me', 'they THREW benches at him', 'someone THREW that at me', 'they THREW things at me', 'a lady THREW it to me', 'you THROW it to who', 'you THROW it to who', 'you THROW it to who', 'he THROWS some stuff on me', 'beautiful damsel THROWS flowers at you', 'you THREW yourself at him', 'she THROWS a sight on him']"
thrust,"['limb THRUSTING upon limb', 'limb THRUSTING upon limb', 'he THRUST himself upon us', 'she THRUST herself upon me', 'we THRUST ourselves upon you', 'hot member THRUST into her']"
tread,"['someone TROD on them', 'someone TROD on it', 'they TREAD the boards of europe', 'we TREAD the path of love', 'soft you TREAD above me', 'it´s TREADING heels on operation', 'you TREAD another on one']"
wake,"['i WAKE her at 7', 'we WAKE at 6', 'i WOKE before dawn', 'they WOKE us at dawn', 'hannah WOKE me for dinner', 'you WAKE all of them', 'you WAKE me at dawn', 'you WAKE me at 8:00', 'i WOKE the house before dawn', 'i WAKE you for church', 'she WAKE in torment', 'we WAKE at six', 'she WAKE in torment', 'she WAKE in torment', 'people WAKED in thisstory', 'she WAKE in agony', 'i WAKE babies from nap', 'he WOKE me in the morning', 'he WAKES me at dawn']"
wear,"['no woman WEARS hats like mine', 'no one WEARS eyeglasses to bed', 'it WEARS no glove of dissimulation', 'the firemen WEAR them to fires', 'i WORE a 6a before bataan', 'i WEAR them like medals', 'i WEAR the seal of baghdad', 'you WORE a gown of gold', 'they WORE masks like this', 'you WEAR it like that', 'he WORE five of them', 'nobody WEARS anything like that', 'father WEARS one like it', 'she WORE it at school', 'uncle WORE things like that', 'you WEAR it with tights', 'she WORE this glove in romeo', 'he WORE a combination of dentures', 'you WEAR uniform of housekeeper', 'he WEARS it until july']"
weave,"['it WEAVES a web from time', 'i WEAVED dreams of him', 'old women WEAVE it in scotland', 'old women WEAVE it in scotland', 'dreams WEAVE a web of us']"
wed,[]
weep,"['i WEEP for joy', 'i WEPT for days', 'i WEPT for them', 'i WEPT for them', 'i WEPT with joy', 'i WEEP for humanity', 'allah WEEPS for me', 'allah WEEPS for me', 'i WEPT tears of joy', 'she WEEPS for joy', 'we WEEP for ourselves', 'he WEPT for glory', 'the wife WEEPS with joy', 'who WEEPS for corruption', 'victoria WEPT over it', 'heart WEPT for you', 'i WEEP for joy', 'i WEEP for myself', 'i WEPT more than', 'you WEEP the marines for santiago']"
wet,"['you WET a washcloth with this', 'nobody WETS the vegetables in oil']"
win,"['she WON the race of modwick', 'you WIN the prize for lousiness', 'we WON the games in 1938', 'you WIN the prize for smarts', 'we WON for 2:0', 'he WINS at everything', 'sanderino WON at ascot', 'i WON another with 100,000', 'he WON it at basketball', 'i WIN the drinks from you', 'you WON a contest with them', 'you WON a lot of money', 'dad WON this at inverness', 'i WON the battle of fredericksburg', 'i WON it from joe', 'i WON a prize in english', 'it WON more than i.', 'i WON a lot of emmies', 'she WIN them in swimming', 'he WON 18 for rochester']"
wind,['it WINDS around it']
wring,['she WRINGS me with spite']
write,"['they WRITE all sorts of things', 'goebbels WROTE every line of it', 'louise WROTE to victor', 'nobody WRITES to me', 'i WROTE you about him', 'you WROTE about cures', 'i WROTE this in 1922', 'he WRITES to you', 'i WROTE it down myself', 'he WROTE a play for it', 'they WRITE songs about them', 'he WRITES poetry on postcards', 'they WRITE a lot of tripe', 'stone WROTE me about you', 'a girl WROTE it from berlin', 'he WRITES presents to me', 'i WRITE mine on order', 'i WRITE bills of sale', 'he WRITES for america', 'he WRITES as dear napoleon']"
accept,"['i ACCEPT with pleasure', 'i ACCEPT with pleasure', 'i ACCEPT with thanks', 'he ACCEPTED the badge of office', 'he ACCEPTED the badge of office', 'we ACCEPTED the products of science', 'i ACCEPT bets on attila', 'i ACCEPTED a job in apulia', 'i ACCEPTED it with grace', 'she ACCEPTS me without criticism', 'you ACCEPTED them until tonight', 'he ACCEPTED it without enthusiasm', 'the plaintiff ACCEPTS it with pleasure', 'flap ACCEPTED the job at kearney', 'everyone ACCEPTED me as him', 'she ACCEPTED on condition', 'he ACCEPTED a brief summary without question', 'you ACCEPT the surface of things', 'i ACCEPT the charges to pronounce', 'i ACCEPTED an invitation to dinner']"
add,"['we ADDED these spikes beneath me', 'he ADDED on interest', 'i ADDED a couple of hours', 'i ADDED photos of philippe', 'it ADDS a touch of class', 'it ADDS color to life', 'she ADDED a bead for eve', 'you ADD that to it', 'they ADDED it in conference', 'every wife ADDS trouble to trouble', 'a little noise ADDS a touch of cheer', 'it ADDS years to you', 'we ADD to this', 'misfortune ADDED the misery to misfortune', 'you ADD the supernatural element to that', 'i ADD to time', 'that ADDED a lot to the series', 'i ADD a lot to the wine', 'you ADD theft to deception', 'we ADD a layer of tinfoil']"
admire,"['i ADMIRE you for it', 'i ADMIRE her for it', 'i ADMIRED him for it', 'i ADMIRE him for that', 'i ADMIRE him for it', 'i ADMIRE a man with guts', 'i ADMIRE men like you', 'i ADMIRE the king of navarre', 'you ADMIRE the bravado with which', 'i ADMIRE the gutterrats of gaza', 'i ADMIRE you for it', 'i ADMIRE you for that', 'i ADMIRE a man with getupandgo', 'i ADMIRE you for it', 'i ADMIRE you for it', 'i ADMIRE you for it', 'i ADMIRE you for it', 'the great king ADMIRES the valor of you', 'i ADMIRE the style of you', 'a woman ADMIRE me with brains']"
admit,"['i ADMIT to that', 'no one ADMITTED it to me', 'i ADMIT to nothing', 'i ADMIT to patriotism', 'i ADMIT to that', 'metron ADMITS to mystery', 'noone ADMITTED to hospital', 'rom ADMITS to nothing', 'he ADMITTED to 13', 'he ADMITTED it in paso', ""don'tdon't ADMIT to anything"", 'no one ADMITS to it', 'tony ADMITTED it to me', 'he ADMITTED it to me', 'she ADMITTED it with embarrassment', 'you ADMIT to dr', 'i ADMIT to nothing', 'this ADMITS the three of us', 'the dealer ADMITS to murder', 'wanna ADMIT it to myself']"
advise,"['i ADVISED against it', 'i ADVISE against that', 'i ADVISED against it', 'i ADVISE against it', 'i ADVISE against it', 'i ADVISE a change of costume', 'he ADVISED against it', 'i ADVISE you against that', 'i ADVISE you against it', 'i ADVISED lionel against it', 'we ADVISED against heels', 'i ADVISED you against it', 'he ADVISED me against it', 'i ADVISED the court against this', 'this doctor ADVISES on defence', 'counsel ADVISED against it', 'i ADVISED you of that', 'i ADVISE against this', 'he ADVISED her against it', 'we ADVISE candidate in transit']"
afford,[]
agree,"['i AGREE with ya', 'i AGREE with ya', 'i AGREE with ya', 'i AGREE with henry', 'i AGREE with you', 'i AGREE with you', 'we AGREE on that', 'she AGREES with me', 'the horses AGREE with him', 'business AGREES with you', 'we AGREE on principles', 'i AGREE chan with him', 'i AGREE with them', 'i AGREE with you', 'i AGREE with you', 'i AGREE with you', 'i AGREE with him', 'i AGREE with you', 'i AGREE with you', 'i AGREE with you']"
alert,"['it ALERTS us to danger', 'a drugsniffing dog ALERTED to it', 'i ALERTED the chief of d', 'the department ALERTED all of them']"
allow,"['this ALLOWS the music to life', 'which ALLOWS the production of drugs', 'the complete device ALLOWS for modulation', 'he ALLOWED ladies in spain', 'no foreigners ALLOWED in tibet', 'the rules ALLOW for illness', 'the bible ALLOWS for vengeance', 'no boys ALLOWED on campus', 'some states ALLOW for that', 'they ALLOW everybody in spain', 'no other country ALLOWS this sort of thing', 'no glass ALLOWED at clouds', 'no birds ALLOWED in your', 'no birds ALLOWED in your', 'the design ALLOWS for flexibility', 'i ALLOW the use of firearms', 'i ALLOW it to 11', 'aesthetic outcome ALLOWS a better result of nerves', 'i ALLOWED for contingencies', 'church ALLOWED abuse for years']"
amuse,"['i AMUSED myself with you', 'you AMUSE yourself with him', 'they AMUSE more in life']"
analyze,"['i ANALYZE manpower at quantico', 'i ANALYZED a lot of pictures', 'we ANALYZE a variety of factors', 'you ANALYZE the figures on the', 'i ANALYZED each step in detail']"
announce,"['alitalia ANNOUNCES the departure of flight', 'the hostess ANNOUNCES a piece for orchestra', 'the weatherman ANNOUNCED a fall in temperature', 'the emperor ANNOUNCES the surrender of japan', 'carlisle ANNOUNCES on monday', 'you ANNOUNCE in august', 'i ANNOUNCED all kinds of people', 'we ANNOUNCE it without comment', 'hirohito ANNOUNCED surrender of japan', 'he ANNOUNCED it to me', 'the new administration ANNOUNCED plans with japan', 'airlines ANNOUNCES the arrival of flight', 'airways ANNOUNCES the departure of flight', 'bush ANNOUNCES the start of war', 'bandeirantes ANNOUNCES the national list to the national selection']"
annoy,"['that ANNOYS me about sweepstakes', 'he ANNOYS me for fun', 'you ANNOYED me in finland']"
answer,"['you ANSWER this letter from philadelphia', 'i ANSWER with them', 'i ANSWER to god', 'i ANSWER to gilberte', 'he ANSWERS for me', 'nobody ANSWERED at 9:00', 'i ANSWERED him in spanish', 'he ANSWERS to nobody', 'nobody ANSWERED at home', 'he ANSWERED by return', 'hinge ANSWERS to iris', 'you ANSWER to people', 'warren ANSWERED unto him', 'she ANSWERS to helen', 'the boss ANSWERED for you', 'he ANSWERS me like this', 'he ANSWERS questions with questions', 'i´d ANSWER in kind', ""you'li ANSWER it to me"", 'you ANSWER me like that']"
appear,"['i APPEARED before court', 'you APPEARED before me', 'she APPEARED to me', 'they APPEARED in 1962', 'it APPEARS in communication', 'it APPEARED to land', 'the infant APPEARED to me', 'mother APPEAR before you', 'baudu APPEARS on stage', 'zeus APPEARED before me', 'it APPEARS to me', 'he APPEARED in poland', 'they APPEAR to me', 'it APPEARED in paris', 'the god APPEARED these words to him', 'the pharaonic magnificence APPEARED to me', 'no lady APPEARED to you', 'death APPEARS invitation to hilde', 'strange priests APPEAR before me', 'the temple APPEARED to us']"
applaud,"['we APPLAUD an ass like that', 'i APPLAUD you for that', 'i APPLAUD both of you', 'i APPLAUD you for it', 'we APPLAUD you for that', 'we APPLAUDED her for it', 'the audience APPLAUDS like that', 'i APPLAUD for monique']"
appreciate,"['i APPRECIATE a thing like this', 'i APPRECIATE a sense of humour', 'i APPRECIATE you including yourself', 'i APPRECIATE all of this', 'we APPRECIATED all of you', 'minotauk APPRECIATE a sense of humor', 'a boss APPRECIATES a thing like that', 'i APPRECIATE the value of intuition', 'i APPRECIATE the vote of confidence', 'i APPRECIATE the vote of confidence', 'you APPRECIATE the demands of motherhood', 'i APPRECIATE the familiarity between us', 'i APPRECIATE the vote of confidence', 'i APPRECIATE the vote of confidence', 'they APPRECIATE him for it', 'i APPRECIATE that vote of confidence', 'i APPRECIATE the vote of confidence', 'i APPRECIATE the vote of confidence', 'i APPRECIATE the thought behind it', 'pfeffer APPRECIATES the value mr']"
approve,"['i APPROVE of that', 'i APPROVE of yours', 'i APPROVE of larceny', 'i APPROVE of that', 'i APPROVE of this', 'she APPROVES of it', 'a union APPROVED for procreation', 'he APPROVES of you', 'she APPROVES of rohan', 'study APPROVED method of police', 'i APPROVED the denunciation of titoism', 'the others APPROVED of it', 'i APPROVE you of them', 'i APPROVE spock of hobbies', 'vulcans APPROVE of suicide', 'i APPROVE of her', 'i APPROVE of that', 'i APPROVE of him', 'i APPROVE of that', 'i APPROVE of frankness']"
argue,"['i ARGUED with them', 'i ARGUED against it', 'i ARGUED with her', 'you ARGUED with maria', 'he ARGUED with her', 'nobody ARGUES with freddie', 'we ARGUED over trivia', 'you ARGUE with everybody', 'we ARGUE about everything', 'we ARGUE about shoes', 'nobody ARGUED with keaton', 'the gods ARGUE amongst themselves', 'you ARGUE with everybody', 'wanna ARGUE with you', 'lu ARGUED with him', 'we ARGUED with him', 'wanna ARGUE about this', 'i ARGUED with gus', 'we ARGUE fights with drunks', 'they ARGUED a couple of times']"
arrange,"['he ARRANGES the place for fishing', 'i ARRANGED for it', 'he ARRANGES for photographers', 'i ARRANGED that with hector', 'he ARRANGED for supplies', 'you ARRANGE all of this', 'he ARRANGED it with me', 'nobody ARRANGED jackshit with me', 'we ARRANGE them by titles', 'we ARRANGE them by titles', 'you ARRANGED everything for olympe', 'you ARRANGE all of this', 'i ARRANGED it with him', 'javid ARRANGED for this', 'javid ARRANGED for this', 'you ARRANGED the filarete murder of acheloo', 'i ARRANGED some evenings for them', 'we ARRANGE housing at pimville', 'she ARRANGES marriages without papers', 'former manager ARRANGED for it']"
arrest,"['he ARRESTED the boys on suspicion', 'they ARRESTED the murderer from marienhof', 'he ARRESTED every criminal in town', 'i ARRESTED him for you', 'we ARREST for drugs', 'i ARRESTED a lot of kids', 'i ARRESTED all of them', 'they ARRESTED all of them', 'they ARREST all of us', 'he ARRESTS a thief of bread', 'they ARRESTED all of them', 'maurylaribiere kidnapper ARRESTED in tours', 'we ARRESTED him for mopery', 'they ARREST me for that', 'we ARRESTED him for murder', 'we ARREST you for murder', 'them ARRESTED for drunkenness', 'i ARRESTED a guy for that', 'they ARRESTED to both', 'i ARREST you of the court']"
arrive,"['the working girl ARRIVED on schedule', 'i ARRIVE in berne', 'they ARRIVED at a', 'i ARRIVED after baiocchi', 'the train ARRIVES at 10:30', 'a letter ARRIVED from', 'it ARRIVED at 8:00', 'a telegram ARRIVED from hioki', 'they ARRIVED before us', 'a gentleman ARRIVED from paris', 'we ARRIVED in time', 'american ventriloquist ARRIVES from paris', 'the train ARRIVES mcgregor at 10:30', 'the army ARRIVED to kyoto', 'the trains ARRIVED on schedule', 'i ARRIVED mallebranche at n0.17', 'you ARRIVE at 11:30', 'it ARRIVES at 11', 'the whole family ARRIVED in buses', 'the plane ARRIVED at 11:20']"
ask,"['i ASKED for it', 'i ASK for nothing', 'you ASKED for it', 'you ASKED for it', 'you ASKED for nothing', 'he ASKED after you', 'he ASKED for it', 'she ASKED him for dough', 'you ASKED me to dinner', 'the professor ASKED me for it', 'you ASKING what for it', 'they ASKED about sails', 'you ASKED for it', 'she ASKS for credit', 'he ASKED for it', 'he ASKED for it', 'you ASKED for shelter', 'i ASK of you', 'no soldier ASKED what of you', 'i ASKED the boss for you']"
attach,"['aras ATTACHED to cirie', 'i ATTACHED it with toothpicks', 'he ATTACHES himself to someone', 'something ATTACHED itself to him', 'you ATTACH this to it', 'he ATTACHED a note to it', 'that beamer ATTACHED to it', 'it ATTACHES itself to it', 'you ATTACHED yourself to jessalyn', 'we ATTACH own feelings to others', 'you ATTACH me to me', 'he ATTACHED himself in paris', 'male ATTACH with special tentacles']"
attack,"['napoleon ATTACKS the prussians by surprise', 'you ATTACK the evil in man', 'most people ATTACK them like cannibals', 'the others ATTACKED him en masse', 'we ATTACKED at 5:17', 'we ATTACK at six', 'we ATTACK at 1:06', 'we ATTACK at night', 'you ATTACK with steel', 'we ATTACK by night', 'we ATTACK at nine', 'he ATTACKED me on stage', 'the soviets ATTACKED at dawn', 'jurand ATTACKED you in madness', 'he ATTACKED me by surprise', 'you ATTACK from front', 'we ATTACK at midnight', 'the lions ATTACKED me of', 'she ATTACKED me of everyone', 'elkheir ATTACKED berber at dawn']"
attempt,"['i ATTEMPTED to telephone', 'the defendant ATTEMPTED to contact', 'assassination ATTEMPTS on me', 'the doctors ATTEMPTED them of everything', 'all ATTEMPTED of the organ']"
attend,"['she ATTENDS the school at poljane', 'you ATTENDED the lecture at oxford', 'i`ll ATTEND to that', 'i ATTENDED a dance at night', 'pray ATTEND to this', 'she ATTENDED to us', 'i ATTENDED the university in vienna', 'she ATTENDS classes in juhu', 'jeffrey ATTENDED school in venice', 'you ATTEND a meeting against yourself', 'we ATTENDED the university in palermo', 'he ATTENDS a lot of lectures', 'you ATTEND it to it', 'hagen ATTENDED to that', 'i ATTENDED a lecture of hers', 'i ATTENDED to that', 'i ATTEND to you', 'the heirs ATTEND the sad ceremony heirs', ""you'll ATTEND to her"", 'you ATTENDED at best company']"
attract,"['this place ATTRACT them like flies', 'this ATTRACTS all sorts of life', 'gold ATTRACTS all kinds of people', 'youґre ATTRACTED to her', 'nothing ATTRACTS like indifference', 'their ATTRACTED to it', 'nothing ATTRACTS lightning like electricity', 'it ATTRACTED me to her', 'that ATTRACTED jacob to rachel', 'she ATTRACTED a lot of men', 'that light ATTRACTS all kind of things', 'the store ATTRACTS a lot of tourists', 'homecoming ATTRACTED all types of attention', 'i ATTRACT women to me', 'sweet smell ATTRACTED the attention of somebody', 'this woman ATTRACTS fleas like dogs', 'the kind ATTRACTED to success']"
avoid,"['they AVOID each other in public', 'we AVOID the jack of spades', 'rockefeller AVOIDS the subpoenas for months', 'we AVOID contact with outsiders', 'she AVOIDS contact with people', 'we AVOID trails of blood', 'we AVOIDED conventions during totalitarianism', 'i AVOIDED the club for months', 'we AVOID goodness in swedish']"
back,"['i BACKED into it', 'i BACKED into it', 'some old geezer BACKED into it', 'i BACKED over him', 'you BACK the fuck off me', 'cahill BACKED into it', 'turek BACKED into him', 'we BACK in effect', 'i BACKED you on that', 'she BACKED into me', 'we BACK in business', 'vic BACKED into him', 'cahill BACKED into it', 'we BACK in business', 'you BACKED into her', 'they BACK into shit', 'jeanpaul BACKED me as assistant', 'tara BACKED the tail to the lose', 'she BACKED into me', 'we BACK in business']"
bake,"['they BAKED to death', 'i BAKED them for you', 'i BAKED them for you', 'i BAKED them for you', 'i BAKED them from scratch', 'i BAKED it with love', 'nobody BAKES like you', 'rabbit BAKED in milk', 'i BAKED this with love', 'guns BAKED into them', 'i BAKE them for daddy', 'you BAKED them for whitey', 'the lord BAKE with you', 'mom BAKED them with butter', 'you BAKE pies from scratch', 'i BAKE a lot of cookies', 'i BAKED a dozen for me']"
balance,[]
ban,"['drugs BANNED in sport', 'dog BANNED in hostel', 'the government BANNED the wearing of tartan', 'he BANNED me from transports', 'usada BANNED armstrong for life', 'he BANNED all pending contact with rex', 'you BAN the works of pretchilites', 'the state BANS cigs in prisons', 'they BANNED the gaelic carrying of swords', 'he BANS cooperative projects for bakers']"
bang,"['l BANGED for you', 'you BANGED that officer at roly', 'i BANGED on time', 'i BANGED on it', 'i BANGED into something', 'i BANGED her in berlin', 'he BANGS against everything', 'man BANGING on door', 'percival BANGING on door', 'i BANGED both of them', 'you BANG a lot of agents', 'he BANGED himself to death', 'the car BANGED against something', 'they BANGED it on something', 'you BANGED her on shabbas', 'eusebio BANGED in four', 'you BANGED it on something', 'they BANG a tribe for us']"
bare,"['we BARE in public', 'she BARED all of this', 'i BARE myself to you']"
bat,"['hobbs BATS against youngberry', 'we BATTED sons of bitches']"
bathe,"['i BATHED them in alkafizz', 'she BATHED with him', 'you BATHE in it', 'they BATHE in it', 'we BATHE under waterfalls', 'he BATHED it in gin', 'he BATHES everything in it', 'wallenda BATHED herself in milk', 'we BATHE in wine', 'i BATHE it in blood', 'i BATHED in it']"
battle,"['we BATTLE the forces of darkness', 'nations BATTLED for dominance', 'we BATTLE against death', 'he BATTLED with depression', 'policeman BATTLES gunman in rain', 'it BATTLED hordes of outsiders', 'i BATTLE with futility']"
beam,['you BEAMED half of the platform']
beg,"['i BEG of you', 'i BEG of you', 'i BEG with you', 'i BEG of you', 'i BEG of you', 'i BEG of you', 'we BEG the life of grazia', 'i BEG of you', 'we BEGGED the authorities for help', 'i BEG of you', 'i BEG of you', 'i BEG of you', 'i BEG of thee', 'i BEG me of you', 'we BEGGED to house', 'i BEG of you', 'i BEG of you', 'i BEG of you', 'i BEG of you', 'i BEG of you']"
behave,"['you BEHAVED like zoé', 'you BEHAVED like bandits', 'they BEHAVED like vandals', 'you BEHAVE like beldames', 'we BEHAVE like lunatics', 'wolves BEHAVED like dogs', 'they BEHAVE like goodfornothings', 'you BEHAVE like kids', 'no one BEHAVED like this', 'you BEHAVE like ants', 'you BEHAVE like one', 'we BEHAVED like cowards', 'parents BEHAVED like that', 'you BEHAVE like children', 'they BEHAVE like lambs', 'nobody BEHAVES like you', 'they BEHAVE like kids', 'you BEHAVED like a', 'you BEHAVED like a', 'she BEHAVED like an actress']"
belong,"['man BELONGS to god', 'it BELONGS to you', 'you BELONG to me', 'you BELONG to me', 'it BELONGS to me', 'he BELONGS to me', 'he BELONGS with you', 'you BELONG to us', 'that woman BELONGS to me', 'the coal BELONGS to everyone', 'the east BELONGS to us', 'the throne BELONGS to me', 'heart BELONGED to another', 'life BELONGS to me', 'life BELONGED to you', 'whitney BELONGS to you', 'body BELONGS to me', 'life BELONGS to you', 'she BELONGS to me', 'the living BELONG the vanished to life']"
bleach,[]
bless,"['god BLESS every one of you', 'god BLESS you for that', 'god BLESS you for them', 'god BLESS both of you', 'god BLESS both of you', 'god BLESS both of you', 'god BLESS them to you', 'god BLESS you for it', 'i BLESS the wonder of life', 'god BLESS you for that', 'god BLESS you for that', 'god BLESSED him with longevity', 'the lord BLESS him for it', 'the lord BLESSED you with talent', 'we BLESS the day on which', 'god BLESS you for it', 'god BLESS you for it', 'god BLESS the both of you', 'god BLESS you for that', 'god BLESS all of you']"
blind,"['i BLINDED us with science', 'whitey BLIND us with religion', 'she BLINDS you with it', 'hate BLINDS you to reality', 'the turk BLINDS you with tricks', 'you BLIND yourself in order', 'it BLINDS you to god']"
blink,"['i BLINKED during mine', 'it BLINKED at me', 'death BLINKED at me', 'he BLINKED at me', 'he BLINKED at me', 'he BLINKED at iceland', 'you BLINKED on guh', 'those big eyes BLINKING at you']"
blot,['i BLOTTED most of it']
blush,['i BLUSH for shame']
boast,"['i BOAST of it', 'you BOAST about this', 'they BOASTED against stanley', 'he BOASTED about it', 'you BOAST a knowledge of pearls', 'urshu BOASTS of them']"
boil,"['i BOIL it into abstraction', 'very insides BOIL with rage', 'them BOILED in oil', 'heads BOILED for you', 'mum BOILING something on the little stove', 'we BOIL it with vinegar', 'the imagination BOILS in a coffeepot', 'stannis BOILED soup from books', 'the frog BOILS to death']"
bomb,"['they BOMB the place with poison', 'you BOMBED belgrade in 1945', 'she BOMBED civilians in afghanistan', 'he BOMBED more than lbj', 'they BOMBED us with strippers', 'we BOMBED the place in august', 'capitol BOMBED the surface to', 'the marine barracks BOMBING in lebanon', 'it BOMBED in houston', 'they BOMBED london for months', 'i BOMBED of the whole school', 'it BOMBS without any conscience']"
book,"['he BOOKED another appearance without us', 'i BOOKED at peppino', 'i BOOKED a gondola for midnight', 'i BOOKED her before you', 'i BOOKED a table at palmer', 'i BOOKED them into evidence', 'i BOOKED míkonos for august', 'two BOOKED for tomorrow', 'i BOOKED a room for engelbrecht', 'i BOOKED you on oprah', 'you BOOKED me for today', 'we BOOKED the hall till 12:00', 'the airline BOOKED rooms in the grand hotel', 'i BOOKED the pitch for gryffindor', 'she BOOKED a bb in solvang', 'i BOOKED a flight to tunisia', 'i BOOKED for two', 'i BOOKED for june', 'she BOOKED the tickets for ibrahim', 'they BOOKED tickets to malmo']"
bore,"['the hag BORES us to death', 'you BORED me to tears', 'it BORED him to death', 'it BORES me to death', 'you BORED me to death', 'it BORES me to tears', 'you BORED him into submission', 'it BORED me to tears', 'she BORES me to death', 'she BORES me to death', 'cinema BORED her to death', 'you BORED him to death', 'she BORED me to tears', ""o'brien BORES the pants off me"", 'this BORES me to tears', 'wanna BORE you with it', 'personality BORES me to tears', 'wanna BORE you with it', 'work BORES me to tears', 'it BORED you to death']"
borrow,"['she BORROWED some money from him', 'he BORROWED that idea from them', 'you BORROW from me', 'i BORROWED a couple of drops', 'i BORROWED it from beta', 'i BORROWED it from cheng', 'i BORROWED a nickel from him', 'he BORROWED from everyone', 'she BORROWED them from me', 'she BORROWED it from grant', 'i BORROWED this camera from him', 'you BORROW it from him', 'he BORROWED it from me', 'i BORROWED this from mabel', 'i BORROWED this from mabel', 'i BORROW a cup of bullets', 'i BORROWED it from him', 'i BORROW from him', 'i BORROW from him', 'you BORROW favors in order']"
bounce,"['bullets BOUNCE off me', 'it BOUNCED like mad', 'bats BOUNCE off me', 'we BOUNCE at zeronine', 'the bullets BOUNCE off him', 'the bb BOUNCED off you', 'you BOUNCE in peace', 'heart BOUNCES with hapinness', 'heart BOUNCES like trampoline', 'he BOUNCED to home', 'he BOUNCED to home', 'you BOUNCE to gym', ""sun'll BOUNCE on you""]"
bow,"['i BOW to you', 'i BOW to you', 'l BOW before you', 'kajal BOWED to time', 'all BOW before satan', 'all lesser cretins BOW before me', 'the world BOWS to us', 'the world BOWS to us', 'it BOWS in sorrow', 'heaven BOW before her', 'i BOW to you', 'i BOW to you', 'you BOW to me', 'i BOW to you', 'i BOW to you', 'i BOW before you', 'i BOW to you', 'the statue BOWED to him', 'i BOW to the divine buddha', 'he BOWS none to all']"
